solver,runs,valid_runs,pipeline_error_runs,has_solution_runs,feasible_rate,vehicles_mean,vehicles_median,distance_mean,distance_median,objective_mean,objective_median,runtime_mean,runtime_median,objective_gap_to_best_observed_pct_mean,distance_gap_to_best_observed_pct_mean
alns_mosade,18,18,0,18,1.0,18.666666666666668,20.0,3067.6153595916203,2260.7565405541964,1869734.2820262583,2002230.9040375247,40.592059311111775,41.37611905000813,2.4177644621495675,2.810241451748934
alns_roulette,18,18,0,18,1.0,18.666666666666668,20.0,3056.840627185795,2275.8980962337373,1869723.5072938523,2002262.1677691117,40.349365088888995,40.869038849996286,2.417196668381732,3.654132547753546
alns_uniform,18,18,0,18,1.0,18.555555555555557,19.5,3076.987683196742,2208.109507902397,1858632.5432387523,1952206.5656960423,40.64344422222267,41.115024149999954,1.8617234826695994,2.8661116328303478
greedy,18,18,0,18,1.0,19.166666666666668,20.0,3530.3221968000976,2758.89548549772,1920196.988863467,2002692.4163140687,28.744424838887223,28.746206350006105,5.370994174938226,12.29555431807086
ortools_routing,18,9,0,9,0.5,17.0,20.0,2403.5229746636414,2707.8887246967975,1702403.5229746634,2002707.8887246968,60.00939047222265,60.00560865000443,0.0,0.0
