instance,solver,ablation,seed,feasible,objective,vehicles_used,total_distance,total_duration,runtime_sec,iterations,best_iteration,instance_path,source_file,time_limit_sec,max_iterations,config_file,created_at,bks_vehicles,bks_distance,bks_source,bks_source_url,vehicle_gap,vehicle_match,distance_gap,distance_gap_pct,selector,vehicles,distance,cost,solver_status,gap,lower_bound,best_bound,gap_or_bound_if_available,has_solution,route_count,customer_count,status,pipeline_status,error,solution_json,convergence_csv,best_observed_vehicles,best_observed_distance,best_observed_objective,vehicle_gap_to_best_observed,distance_gap_to_best_observed_pct,objective_gap_to_best_observed_pct
c101_100,alns_roulette,alns_roulette,1,True,1000828.9368669428,10,828.9368669428338,9828.936866942835,21.611502100000507,500,2,data\raw\benchmark\solomon_100\In\c101.txt,data\raw\benchmark\solomon_100\In\c101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,10,828.94,"SINTEF VRPTW 100 customers table, RT/SAM::OPT entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,0,True,-0.003133057166223807,-0.0003779594622317426,roulette,10,828.9368669428338,1000828.9368669428,FEASIBLE,,,,,True,10,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\c101_100__alns_roulette__seed1.json,data\results\experiments\convergence\medium\c101_100__alns_roulette__seed1.csv,10.0,828.9368669428338,1000828.9368669428,0.0,0.0,0.0
c101_100,alns_roulette,alns_roulette,2,True,1000828.9368669428,10,828.9368669428338,9828.936866942833,20.947967800006154,500,8,data\raw\benchmark\solomon_100\In\c101.txt,data\raw\benchmark\solomon_100\In\c101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,10,828.94,"SINTEF VRPTW 100 customers table, RT/SAM::OPT entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,0,True,-0.003133057166223807,-0.0003779594622317426,roulette,10,828.9368669428338,1000828.9368669428,FEASIBLE,,,,,True,10,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\c101_100__alns_roulette__seed2.json,data\results\experiments\convergence\medium\c101_100__alns_roulette__seed2.csv,10.0,828.9368669428338,1000828.9368669428,0.0,0.0,0.0
c101_100,alns_mosade,alns_mosade_adaptive,0,True,1000828.9368669428,10,828.9368669428338,9828.936866942833,21.81929630000377,500,5,data\raw\benchmark\solomon_100\In\c101.txt,data\raw\benchmark\solomon_100\In\c101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,10,828.94,"SINTEF VRPTW 100 customers table, RT/SAM::OPT entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,0,True,-0.003133057166223807,-0.0003779594622317426,mosade_inspired,10,828.9368669428338,1000828.9368669428,FEASIBLE,,,,,True,10,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\c101_100__alns_mosade__seed0.json,data\results\experiments\convergence\medium\c101_100__alns_mosade__seed0.csv,10.0,828.9368669428338,1000828.9368669428,0.0,0.0,0.0
c101_100,alns_mosade,alns_mosade_adaptive,1,True,1000828.9368669428,10,828.9368669428338,9828.936866942835,21.536656199998106,500,8,data\raw\benchmark\solomon_100\In\c101.txt,data\raw\benchmark\solomon_100\In\c101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,10,828.94,"SINTEF VRPTW 100 customers table, RT/SAM::OPT entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,0,True,-0.003133057166223807,-0.0003779594622317426,mosade_inspired,10,828.9368669428338,1000828.9368669428,FEASIBLE,,,,,True,10,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\c101_100__alns_mosade__seed1.json,data\results\experiments\convergence\medium\c101_100__alns_mosade__seed1.csv,10.0,828.9368669428338,1000828.9368669428,0.0,0.0,0.0
c101_100,alns_mosade,alns_mosade_adaptive,2,True,1000828.9368669428,10,828.9368669428338,9828.936866942835,22.741360500003793,500,14,data\raw\benchmark\solomon_100\In\c101.txt,data\raw\benchmark\solomon_100\In\c101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,10,828.94,"SINTEF VRPTW 100 customers table, RT/SAM::OPT entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,0,True,-0.003133057166223807,-0.0003779594622317426,mosade_inspired,10,828.9368669428338,1000828.9368669428,FEASIBLE,,,,,True,10,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\c101_100__alns_mosade__seed2.json,data\results\experiments\convergence\medium\c101_100__alns_mosade__seed2.csv,10.0,828.9368669428338,1000828.9368669428,0.0,0.0,0.0
r101_100,greedy,greedy,0,True,2002051.9017526007,20,2051.9017526007033,3818.5498945995178,4.199349099988467,,,data\raw\benchmark\solomon_100\In\r101.txt,data\raw\benchmark\solomon_100\In\r101.txt,,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,19,1650.8,"SINTEF VRPTW 100 customers table, Homberger entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,1,False,,,,20,2051.9017526007033,2002051.9017526007,FEASIBLE,,,,,True,20,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\r101_100__greedy__seed0.json,,19.0,1660.8401044606824,1901660.8401044607,1.0,,5.279125463961563
r101_100,greedy,greedy,1,True,2002051.9017526007,20,2051.9017526007033,3818.5498945995178,4.550658299995121,,,data\raw\benchmark\solomon_100\In\r101.txt,data\raw\benchmark\solomon_100\In\r101.txt,,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,19,1650.8,"SINTEF VRPTW 100 customers table, Homberger entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,1,False,,,,20,2051.9017526007033,2002051.9017526007,FEASIBLE,,,,,True,20,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\r101_100__greedy__seed1.json,,19.0,1660.8401044606824,1901660.8401044607,1.0,,5.279125463961563
r101_100,greedy,greedy,2,True,2002051.9017526007,20,2051.9017526007033,3818.5498945995178,4.749557399991318,,,data\raw\benchmark\solomon_100\In\r101.txt,data\raw\benchmark\solomon_100\In\r101.txt,,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,19,1650.8,"SINTEF VRPTW 100 customers table, Homberger entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,1,False,,,,20,2051.9017526007033,2002051.9017526007,FEASIBLE,,,,,True,20,100,FEASIBLE,ok,,data\results\experiments\solutions\medium\r101_100__greedy__seed2.json,,19.0,1660.8401044606824,1901660.8401044607,1.0,,5.279125463961563
r101_100,ortools_routing,ortools_routing,0,False,inf,0,0.0,0.0,60.00662720001128,,,data\raw\benchmark\solomon_100\In\r101.txt,data\raw\benchmark\solomon_100\In\r101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,19,1650.8,"SINTEF VRPTW 100 customers table, Homberger entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,-19,False,,,,0,0.0,inf,NO_SOLUTION,,,,,False,0,100,NO_SOLUTION,ok,,data\results\experiments\solutions\medium\r101_100__ortools_routing__seed0.json,,,,,,,
r101_100,ortools_routing,ortools_routing,1,False,inf,0,0.0,0.0,60.00265379999473,,,data\raw\benchmark\solomon_100\In\r101.txt,data\raw\benchmark\solomon_100\In\r101.txt,60.0,500,configs\experiment_medium.yaml,2026-06-23T00:37:42,19,1650.8,"SINTEF VRPTW 100 customers table, Homberger entry",https://www.sintef.no/projectweb/top/vrptw/100-customers/,-19,False,,,,0,0.0,inf,NO_SOLUTION,,,,,False,0,100,NO_SOLUTION,ok,,data\results\experiments\solutions\medium\r101_100__ortools_routing__seed1.json,,,,,,,
