solver,metric,runs,valid_runs,failed_runs,feasible_rate,metric_mean,metric_std,metric_median,metric_best,distance_mean,distance_median,objective_mean,objective_median,vehicles_mean,runtime_mean,runtime_median
alns_mosade,cost,15,15,0,1.0,333584.54849419947,129192.19801987658,300250.66721523437,200140.0,251.21516086613147,250.6672152343741,333584.54849419947,300250.66721523437,3.3333333333333335,1.7341098000004422,1.344303800004127
alns_roulette,cost,15,15,0,1.0,333581.07067562063,129193.1603644374,300254.0103736207,200140.0,247.73734228726602,254.0103736207422,333581.07067562063,300254.0103736207,3.3333333333333335,1.6432640800005174,1.0961840000018128
alns_uniform,cost,15,15,0,1.0,333577.0137363803,129194.28264232852,300250.66721523437,200140.0,243.68040304698383,250.6672152343741,333577.0137363803,300250.66721523437,3.3333333333333335,1.7833704199996039,1.3437702000010177
