solver,metric,runs,valid_runs,failed_runs,feasible_rate,metric_mean,metric_std,metric_median,metric_best,distance_mean,objective_mean,vehicles_mean,runtime_mean
alns_mosade,cost,9,9,0,1.0,333578.4701788743,132384.33254024692,300250.66721523437,200140.0,245.13684554094945,333578.4701788743,3.3333333333333335,0.9418497666661602
alns_uniform,cost,9,9,0,1.0,333578.84164091724,132384.22733973086,300254.0103736207,200140.0,245.5083075838793,333578.84164091724,3.3333333333333335,0.799962033332526
cp_sat,cost,9,6,0,0.6666666666666666,250190.38006758914,54827.444349451056,250190.38006758917,200140.0,190.38006758918144,250190.38006758914,2.5,25.033560933332613
greedy,cost,9,9,0,1.0,333608.80278265866,132378.00691752508,300259.1502138792,200180.0,275.469449325297,333608.80278265866,3.3333333333333335,0.19064412222279417
ortools_routing,cost,9,9,0,1.0,333565.0201400634,132388.1442905559,300191.81361977867,200140.0,231.68680673008237,333565.0201400634,3.3333333333333335,10.002691077778259
